Split,RMSE_ARIMA,MAE_ARIMA,R2_ARIMA,RMSE_XGB,MAE_XGB,R2_XGB,RMSE_Hybrid,MAE_Hybrid,R2_Hybrid
90/10,2.4418909092945524,1.5279249193603386,-0.4044639337732847,2.0854022277244217,1.1505983251831138,-0.02432492660158392,2.1752682286335476,1.2598776842550563,-0.11450932977149564
80/20,1.6912548692473126,1.0142890756729726,-0.0056145539012992796,1.5381143578536718,0.8724310766327081,0.168254073547202,1.5570126996912872,0.9035346683846645,0.1476896939269584
70/30,1.680307362327448,1.0623675620371302,-0.07524171261607338,1.6708942254968975,1.0500253197140852,-0.0632283781590266,1.5877098130180536,1.0224562732269704,0.040000733113477405
