Split,Best_ARIMA,RMSE_ARIMA,MAE_ARIMA,R2_ARIMA,MAPE_ARIMA,Best_XGB,RMSE_XGB,MAE_XGB,R2_XGB,MAPE_XGB
90/10,"(4, 1, 3)",2.4418909092945524,1.5279249193603386,-0.4044639337732847,77.250058813322,"{'n_estimators': 500, 'learning_rate': 0.03, 'max_depth': 6, 'subsample': 0.6, 'colsample_bytree': 0.6, 'objective': 'reg:squarederror', 'random_state': 42}",2.0854022277244217,1.1505983251831138,-0.02432492660158392,74.93950692970115
80/20,"(0, 1, 2)",1.6912548692473126,1.0142890756729726,-0.0056145539012992796,485.5461521384754,"{'n_estimators': 300, 'learning_rate': 0.1, 'max_depth': 5, 'subsample': 1.0, 'colsample_bytree': 0.6, 'objective': 'reg:squarederror', 'random_state': 42}",1.5381143578536718,0.8724310766327081,0.168254073547202,416.2874796719816
70/30,"(2, 1, 3)",1.680307362327448,1.0623675620371302,-0.07524171261607338,286.06434795957483,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.8, 'colsample_bytree': 0.6, 'objective': 'reg:squarederror', 'random_state': 42}",1.6708942254968975,1.0500253197140852,-0.0632283781590266,294.04976268529475
